('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         757107 function calls (736878 primitive calls) in 1.933 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      313    1.326    0.004    1.326    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.096    0.096    0.096    0.096 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.094    0.094    0.094    0.094 {method 'connect' of '_socket.socket' objects}
        1    0.054    0.054    0.055    0.055 {built-in method _socket.getaddrinfo}
        1    0.020    0.020    0.020    0.020 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     2669    0.015    0.000    0.079    0.000 parser.py:300(parse_starttag)
 3035/233    0.015    0.000    0.041    0.000 sre_parse.py:494(_parse)
    24745    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
        2    0.011    0.006    0.129    0.064 parser.py:133(goahead)
      208    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
 3568/194    0.009    0.000    0.019    0.000 sre_compile.py:87(_compile)
     2670    0.006    0.000    0.019    0.000 element.py:1199(__init__)
     2554    0.006    0.000    0.009    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
90517/90497    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
        1    0.006    0.006    0.006    0.006 {method '_wrap_socket' of '_ssl._SSLContext' objects}
     8036    0.005    0.000    0.005    0.000 element.py:156(setup)
      271    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  705/702    0.005    0.000    0.060    0.000 {built-in method builtins.__build_class__}
     5580    0.005    0.000    0.019    0.000 __init__.py:586(endData)
4108/1452    0.005    0.000    0.008    0.000 element.py:2336(_matches)
    17149    0.004    0.000    0.004    0.000 sre_parse.py:234(__next)
     2669    0.004    0.000    0.036    0.000 __init__.py:722(handle_starttag)
     2669    0.004    0.000    0.043    0.000 _htmlparser.py:105(handle_starttag)
     2525    0.004    0.000    0.025    0.000 parser.py:385(parse_endtag)
      687    0.004    0.000    0.006    0.000 sre_compile.py:292(_optimize_charset)
    298/1    0.004    0.000    1.934    1.934 {built-in method builtins.exec}
    65848    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
52412/47521    0.004    0.000    0.005    0.000 {built-in method builtins.len}
    10653    0.004    0.000    0.005    0.000 _markupbase.py:44(updatepos)
    19917    0.004    0.000    0.005    0.000 sre_parse.py:165(__getitem__)
 3584/383    0.004    0.000    0.005    0.000 sre_parse.py:175(getwidth)
     3239    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x55b98c4519a0}
     2668    0.003    0.000    0.006    0.000 __init__.py:688(_popToTag)
     2670    0.003    0.000    0.004    0.000 __init__.py:572(pushTag)
     2683    0.003    0.000    0.008    0.000 __init__.py:620(object_was_parsed)
 1074/195    0.003    0.000    0.041    0.000 sre_parse.py:436(_parse_sub)
     1032    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     8053    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     2686    0.003    0.000    0.012    0.000 element.py:2240(search_tag)
    14175    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     5386    0.003    0.000    0.016    0.000 element.py:2303(search)
     1425    0.003    0.000    0.003    0.000 __init__.py:648(_linkage_fixer)
        1    0.002    0.002    0.019    0.019 dammit.py:70(_populate_class_variables)
     2669    0.002    0.000    0.003    0.000 __init__.py:558(popTag)
     2670    0.002    0.000    0.019    0.000 _htmlparser.py:160(handle_endtag)
      474    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    11051    0.002    0.000    0.005    0.000 sre_parse.py:255(get)
      208    0.002    0.000    0.002    0.000 {built-in method io.open_code}
    20417    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    14902    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     2669    0.002    0.000    0.006    0.000 parser.py:351(check_for_whole_start_tag)
    13846    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     7899    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
      9/7    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
        3    0.002    0.001    0.020    0.007 element.py:792(_find_all)
     6860    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1943    0.002    0.000    0.002    0.000 __init__.py:91(_replace_charref)
     2683    0.002    0.000    0.005    0.000 element.py:943(__new__)
        2    0.002    0.001    0.002    0.001 {built-in method _codecs.utf_8_decode}
     2175    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     8133    0.001    0.000    0.003    0.000 sre_parse.py:250(match)
     2569    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      208    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       24    0.001    0.000    0.003    0.000 enum.py:180(__new__)
     2668    0.001    0.000    0.017    0.000 __init__.py:763(handle_endtag)
     9285    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     8291    0.001    0.000    0.002    0.000 sre_parse.py:161(__len__)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
      273    0.001    0.000    1.339    0.005 http11.py:209(_receive_event)
7538/7537    0.001    0.000    0.005    0.000 {built-in method builtins.next}
    13925    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     2683    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
    14593    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5232    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
      725    0.001    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
     4149    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      319    0.001    0.000    0.068    0.000 re.py:288(_compile)
     2569    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     4128    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
      208    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      256    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      586    0.001    0.000    0.007    0.000 _connection.py:426(next_event)
     1952    0.001    0.000    0.002    0.000 typing.py:986(__setattr__)
     5789    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
       84    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
     2582    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
     2669    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
      910    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
      416    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      313    0.001    0.000    1.329    0.004 sync.py:124(read)
  568/567    0.001    0.000    0.002    0.000 _readers.py:157(__call__)
    262/7    0.001    0.000    0.161    0.023 <frozen importlib._bootstrap>:1022(_find_and_load)
      437    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
     2703    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
      239    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      276    0.001    0.000    0.002    0.000 _connection.py:260(_process_event)
     3360    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
      455    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     5401    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     6276    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        5    0.001    0.000    0.304    0.061 {method 'join' of 'bytes' objects}
      687    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     8881    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
      120    0.001    0.000    0.001    0.000 sre_compile.py:516(_get_charset_prefix)
      910    0.001    0.000    0.001    0.000 contextlib.py:139(__exit__)
      234    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     2670    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      586    0.001    0.000    0.003    0.000 _connection.py:398(_extract_next_receive_event)
    234/6    0.001    0.000    0.160    0.027 <frozen importlib._bootstrap>:664(_load_unlocked)
     1014    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
      194    0.001    0.000    0.004    0.000 sre_compile.py:560(_compile_info)
      231    0.001    0.000    0.004    0.000 typing.py:1016(__init__)
     4184    0.001    0.000    0.001    0.000 abc.py:117(__instancecheck__)
      194    0.001    0.000    0.066    0.000 sre_compile.py:783(compile)
      301    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     7377    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3420    0.001    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
    261/6    0.001    0.000    0.161    0.027 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     4184    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     5460    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2678    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       24    0.000    0.000    0.007    0.000 dataclasses.py:881(_process_class)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:211(AddrlistClass)
    52/14    0.000    0.000    0.009    0.001 css_parser.py:911(parse_selectors)
     1952    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
      208    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      765    0.000    0.000    0.001    0.000 sre_parse.py:356(_escape)
     2670    0.000    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
       28    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
       27    0.000    0.000    0.365    0.014 __init__.py:1(<module>)
      590    0.000    0.000    0.001    0.000 enum.py:470(__setattr__)
       26    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     2649    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2669    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2525    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
     6026    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     2769    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      194    0.000    0.000    0.042    0.000 sre_parse.py:944(parse)
       57    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      276    0.000    0.000    0.000    0.000 _state.py:318(_fire_state_triggered_transitions)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      416    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1030    0.000    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     2837    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      208    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      272    0.000    0.000    0.297    0.001 http11.py:196(_receive_response_body)
       12    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
      276    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      272    0.000    0.000    0.297    0.001 _models.py:935(iter_raw)
      910    0.000    0.000    0.001    0.000 contextlib.py:279(helper)
      208    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      910    0.000    0.000    0.001    0.000 contextlib.py:130(__enter__)
     1322    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1032    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      690    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  456/437    0.000    0.000    0.007    0.000 typing.py:306(inner)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      710    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       24    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
    208/6    0.000    0.000    0.160    0.027 <frozen importlib._bootstrap_external>:877(exec_module)
