('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737441 function calls (717118 primitive calls) in 6.817 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      323    1.200    0.004    1.200    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.094    0.094    0.094    0.094 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.092    0.092    0.092    0.092 {method 'connect' of '_socket.socket' objects}
        1    0.085    0.085    0.085    0.085 {built-in method _socket.getaddrinfo}
        1    0.021    0.021    0.021    0.021 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 3217/199    0.018    0.000    0.049    0.000 sre_parse.py:494(_parse)
     2669    0.015    0.000    0.076    0.000 parser.py:300(parse_starttag)
    24623    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
      158    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
        2    0.011    0.006    0.125    0.063 parser.py:133(goahead)
 3974/190    0.010    0.000    0.023    0.000 sre_compile.py:87(_compile)
     2670    0.006    0.000    0.016    0.000 element.py:1199(__init__)
        1    0.006    0.006    0.006    0.006 {method '_wrap_socket' of '_ssl._SSLContext' objects}
    22066    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
87037/87033    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
     8036    0.006    0.000    0.006    0.000 element.py:156(setup)
      897    0.005    0.000    0.007    0.000 sre_compile.py:292(_optimize_charset)
       42    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     5580    0.005    0.000    0.019    0.000 __init__.py:586(endData)
     2669    0.004    0.000    0.034    0.000 __init__.py:722(handle_starttag)
     2554    0.004    0.000    0.007    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
4108/1452    0.004    0.000    0.008    0.000 element.py:2336(_matches)
     2669    0.004    0.000    0.040    0.000 _htmlparser.py:105(handle_starttag)
    23214    0.004    0.000    0.006    0.000 sre_parse.py:165(__getitem__)
     2525    0.004    0.000    0.025    0.000 parser.py:385(parse_endtag)
    70725    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
  528/526    0.004    0.000    0.058    0.000 {built-in method builtins.__build_class__}
55252/50497    0.004    0.000    0.005    0.000 {built-in method builtins.len}
 3981/370    0.004    0.000    0.005    0.000 sre_parse.py:175(getwidth)
    10653    0.004    0.000    0.005    0.000 _markupbase.py:44(updatepos)
 1209/191    0.003    0.000    0.049    0.000 sre_parse.py:436(_parse_sub)
     2670    0.003    0.000    0.004    0.000 __init__.py:572(pushTag)
     2668    0.003    0.000    0.006    0.000 __init__.py:688(_popToTag)
        1    0.003    0.003    0.020    0.020 dammit.py:70(_populate_class_variables)
     2683    0.003    0.000    0.008    0.000 __init__.py:620(object_was_parsed)
     8044    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3076    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x55d462a029a0}
    14853    0.003    0.000    0.007    0.000 sre_parse.py:255(get)
     5386    0.003    0.000    0.016    0.000 element.py:2303(search)
     1425    0.003    0.000    0.003    0.000 __init__.py:648(_linkage_fixer)
    13901    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     2686    0.002    0.000    0.011    0.000 element.py:2240(search_tag)
     2669    0.002    0.000    0.003    0.000 __init__.py:558(popTag)
      819    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     2670    0.002    0.000    0.019    0.000 _htmlparser.py:160(handle_endtag)
      403    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      9/7    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
     2669    0.002    0.000    0.006    0.000 parser.py:351(check_for_whole_start_tag)
    10454    0.002    0.000    0.003    0.000 sre_parse.py:250(match)
    19449    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     7901    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2683    0.002    0.000    0.005    0.000 element.py:943(__new__)
     1943    0.002    0.000    0.002    0.000 __init__.py:91(_replace_charref)
        3    0.002    0.001    0.019    0.006 element.py:792(_find_all)
    14161    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
    12712    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      222    0.002    0.000    0.287    0.001 {method 'read' of '_io.BufferedReader' objects}
      158    0.002    0.000    0.002    0.000 {built-in method io.open_code}
        1    0.001    0.001    0.001    0.001 models.py:909(text)
     9508    0.001    0.000    0.002    0.000 sre_parse.py:161(__len__)
     2176    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     2668    0.001    0.000    0.017    0.000 __init__.py:763(handle_endtag)
     5809    0.001    0.000    0.002    0.000 sre_parse.py:173(append)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
     4649    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
    14207    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
    10224    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      305    0.001    0.000    0.080    0.000 re.py:288(_compile)
    14593    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     2683    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
      723    0.001    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
       19    0.001    0.000    0.003    0.000 enum.py:180(__new__)
     5789    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
     2155    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     2155    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      205    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     4120    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
     2582    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
     2669    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
       11    0.001    0.000    0.292    0.027 {method 'join' of 'bytes' objects}
      897    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     5718    0.001    0.000    0.004    0.000 {built-in method builtins.next}
      158    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:950(get_code)
6108/6040    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1833    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     5401    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     2703    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     1058    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
     8881    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      316    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      190    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
      190    0.001    0.000    0.078    0.000 sre_compile.py:783(compile)
      122    0.001    0.000    0.001    0.000 sre_compile.py:516(_get_charset_prefix)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
