('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737403 function calls (717066 primitive calls) in 1.807 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      312    1.214    0.004    1.214    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.100    0.100    0.100    0.100 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.095    0.095    0.095    0.095 {method 'connect' of '_socket.socket' objects}
        1    0.055    0.055    0.055    0.055 {built-in method _socket.getaddrinfo}
        1    0.020    0.020    0.020    0.020 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 3217/199    0.018    0.000    0.048    0.000 sre_parse.py:494(_parse)
     2669    0.015    0.000    0.078    0.000 parser.py:300(parse_starttag)
    24623    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
      158    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
        2    0.011    0.006    0.129    0.064 parser.py:133(goahead)
 3974/190    0.010    0.000    0.022    0.000 sre_compile.py:87(_compile)
     2670    0.007    0.000    0.017    0.000 element.py:1199(__init__)
     8036    0.006    0.000    0.006    0.000 element.py:156(setup)
87051/87047    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
    22066    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
       41    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      897    0.005    0.000    0.007    0.000 sre_compile.py:292(_optimize_charset)
     5580    0.005    0.000    0.021    0.000 __init__.py:586(endData)
     2669    0.005    0.000    0.036    0.000 __init__.py:722(handle_starttag)
4108/1452    0.005    0.000    0.008    0.000 element.py:2336(_matches)
     2554    0.004    0.000    0.007    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
        1    0.004    0.004    0.004    0.004 {method '_wrap_socket' of '_ssl._SSLContext' objects}
     2525    0.004    0.000    0.025    0.000 parser.py:385(parse_endtag)
     2669    0.004    0.000    0.042    0.000 _htmlparser.py:105(handle_starttag)
    23228    0.004    0.000    0.006    0.000 sre_parse.py:165(__getitem__)
    70739    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
